Included_in_analysis,ID,avg_response_friend_approached,avg_response_stranger_approached,avg_response_friend_approaching,avg_response_stranger_approaching,Sex_1m_2f,Country,country_1in_2us,age,UCLA,loneliness_L1_H2,covid_loneliness,covid_loneliness_L1_H2,Avg_approached,Avg_Approaching,Avg_Friend,Avg_Stranger,average_response_time_total,Zavg_response_friend_approached,Zavg_response_stranger_approached,Zavg_response_friend_approaching,Zavg_response_stranger_approaching,Zavg_response_total,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV
1,86,3.54,2.85,3.53,2.73,1,187,2,58,28,1,3,1,3.20,3.13,3.54,2.79,3.16,0.49,0.69,0.61,0.63,0.61,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1
1,87,3.04,1.90,3.03,2.04,1,187,2,39,67,2,3,1,2.47,2.54,3.04,1.97,2.50,-0.25,-0.38,-0.09,-0.14,-0.22,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3
1,88,3.50,3.01,3.56,2.97,2,187,2,54,40,1,4,2,3.26,3.27,3.53,2.99,3.26,0.43,0.87,0.65,0.90,0.71,1,4,3,3,2,1,2,3,1,2,1,2,2,3,1,2,3,2,1,1
1,89,3.24,3.03,3.22,2.88,2,187,2,43,56,2,5,2,3.14,3.05,3.23,2.96,3.09,0.05,0.90,0.18,0.80,0.48,2,3,2,4,2,3,3,4,2,3,3,4,4,4,2,3,2,3,1,2
1,90,3.14,0.51,2.77,0.60,1,78,1,39,24,1,2,1,1.83,1.69,2.96,0.56,1.76,-0.10,-1.94,-0.45,-1.75,-1.06,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
1,91,2.88,1.60,3.13,1.46,2,187,2,40,37,1,1,1,2.24,2.29,3.00,1.53,2.27,-0.49,-0.71,0.05,-0.79,-0.49,2,2,1,2,4,2,2,4,2,1,3,1,1,1,1,1,3,1,2,1
1,92,3.66,3.30,3.75,3.16,1,187,2,48,56,2,4,2,3.48,3.46,3.71,3.23,3.47,0.68,1.20,0.92,1.11,0.98,2,4,3,4,2,2,3,3,2,2,3,2,3,3,3,2,4,3,3,3
1,93,3.28,2.61,3.48,3.01,1,187,2,41,31,1,3,1,2.94,3.24,3.38,2.81,3.09,0.10,0.42,0.53,0.94,0.50,2,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,1,1
1,94,3.50,3.19,3.38,2.85,2,187,2,53,49,2,4,2,3.35,3.12,3.44,3.02,3.23,0.43,1.08,0.41,0.76,0.67,2,3,3,3,3,3,3,4,1,2,2,3,2,3,2,2,1,3,2,2
1,95,3.71,2.93,3.51,3.14,2,187,2,35,43,2,3,1,3.32,3.33,3.61,3.03,3.32,0.75,0.78,0.58,1.09,0.80,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
1,96,3.30,2.60,2.98,2.20,2,187,2,71,31,1,3,1,2.95,2.59,3.14,2.40,2.77,0.13,0.41,-0.16,0.03,0.10,2,2,1,1,3,1,1,1,1,1,2,1,2,2,1,1,4,2,1,1
1,97,3.44,2.92,3.36,2.49,1,187,2,44,51,2,3,1,3.18,2.92,3.40,2.70,3.05,0.35,0.77,0.37,0.36,0.46,3,2,3,2,3,3,3,3,3,2,2,2,3,2,2,3,3,3,2,2
1,98,3.36,1.46,3.39,1.79,2,78,1,29,32,1,2,1,2.41,2.59,3.37,1.63,2.50,0.23,-0.87,0.41,-0.42,-0.16,2,2,2,1,2,2,1,1,2,2,1,1,3,1,2,1,1,1,2,2
1,99,3.31,1.88,2.72,1.63,1,187,2,65,48,2,3,1,2.60,2.18,3.02,1.76,2.39,0.15,-0.40,-0.52,-0.60,-0.34,2,3,2,2,3,2,2,3,2,2,2,3,3,2,3,2,3,3,2,2
1,100,3.15,1.41,2.92,1.17,1,187,2,38,36,1,4,2,2.28,2.05,3.04,1.29,2.16,-0.08,-0.93,-0.24,-1.11,-0.59,2,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1
0,101,1.20,0.54,0.77,0.53,1,187,2,56,23,1,3,1,0.87,0.65,0.98,0.54,0.76,-2.99,-1.90,-3.26,-1.83,-2.50,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
1,102,3.16,1.75,3.60,2.31,1,187,2,34,39,1,3,1,2.46,2.95,3.38,2.03,2.70,-0.07,-0.55,0.70,0.16,0.06,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,3,1,2,2,2
1,103,3.48,3.27,3.31,2.97,2,187,2,46,33,1,4,2,3.37,3.14,3.40,3.12,3.26,0.40,1.16,0.30,0.89,0.69,2,2,1,1,2,2,1,1,3,1,2,1,2,2,1,1,4,2,1,1
1,104,3.29,1.81,3.32,1.91,2,187,2,54,34,1,3,1,2.55,2.61,3.30,1.86,2.58,0.12,-0.47,0.31,-0.29,-0.08,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1
1,105,3.70,3.01,3.20,2.41,2,187,2,39,44,2,5,2,3.35,2.81,3.45,2.71,3.08,0.74,0.87,0.15,0.27,0.51,2,4,2,3,2,2,3,2,2,2,2,3,2,3,2,2,2,2,1,1
