ID,avg_responsefriend_approached,avg_responsestranger_approached,avg_responsefriend_approaching,avg_responsestranger_approaching,gender,age,UCLA,COVID_LONELINESS,loneliness_L1_H2,covid_loneliness_1L_2H,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV,Zavg_responsefriend1,Zavg_responsestranger1,Zavg_responsefriend2,Zavg_responsestranger2,response_avg_z
74,3.38,2.72,3.38,2.39,2,38,30,4,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,0.255936951,0.546090246,0.400419475,0.24831124,0.362689478
75,2.97,1.48,2.50,1.22,1,26,39,3,1,1,2,2,1,1,2,2,1,2,4,2,2,2,1,2,2,2,4,3,1,1,-0.355198183,-0.849708089,-0.833007191,-1.057763307,-0.773919192
76,3.44,2.55,3.01,1.88,2,40,37,4,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,4,2,1,1,0.339230118,0.358878738,-0.12235487,-0.324011841,0.062935536
77,2.69,2.28,2.75,2.37,2,37,20,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.774499409,0.054064998,-0.484577182,0.226981508,-0.244507521
78,3.56,3.09,3.46,2.92,1,40,23,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,0.524240181,0.962578458,0.512549172,0.839951847,0.709829915
79,3.35,1.86,3.16,1.56,2,40,37,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,3,2,2,1,0.211219746,-0.421963438,0.092062809,-0.678220276,-0.19922529
80,3.44,2.63,3.18,2.30,2,40,29,3,1,1,2,1,1,1,1,2,1,1,3,2,1,2,3,1,1,1,2,1,1,1,0.351312341,0.440283134,0.116217922,0.143814709,0.262907027
81,3.60,3.13,3.34,3.04,2,31,40,4,1,2,3,2,2,2,3,2,1,2,2,2,2,1,1,2,2,2,4,1,2,2,0.583863121,1.007604211,0.344354627,0.973908211,0.727432542
82,3.63,1.66,3.75,1.35,1,28,35,5,1,2,2,2,1,2,2,2,1,1,1,2,1,1,3,1,2,2,2,2,2,3,0.628580326,-0.647092202,0.919019323,-0.912643913,-0.003034116
83,3.82,2.96,3.79,3.06,1,38,33,4,1,2,1,2,2,2,1,1,1,3,1,2,2,2,1,2,2,1,2,2,1,2,0.91178929,0.816244762,0.975084172,0.996234272,0.924838124
84,4.00,3.96,3.87,3.76,1,37,29,3,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1.18009252,1.941888581,1.087213869,1.777646394,1.496710341
85,3.74,1.25,3.76,0.88,1,35,27,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,0.796157999,-1.112383537,0.938150701,-1.441171602,-0.20481161
86,4.00,2.65,3.22,2.51,2,32,30,3,1,1,1,1,1,1,4,2,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1.18009252,0.466768198,0.17275223,0.382801219,0.550603542
87,2.92,2.20,2.27,2.05,1,36,39,4,1,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,1,2,2,2,1,-0.431948582,-0.036048416,-1.148897483,-0.128698387,-0.436398217
88,0.83,0.50,0.78,0.53,1,36,33,4,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,-3.537591289,-1.948449097,-3.248999283,-1.822807719,-2.639461847
89,3.67,3.23,3.82,3.69,2,36,34,4,1,2,1,2,1,2,1,1,2,3,2,1,3,2,2,2,1,1,3,2,1,1,0.693981865,1.116348305,1.016545908,1.704665844,1.13288548
90,3.56,2.27,3.42,1.77,1,36,26,4,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,0.529121601,0.034494332,0.455810739,-0.448823519,0.142650788
91,3.14,2.77,2.83,2.39,2,37,31,4,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,-0.101800688,0.602372437,-0.370472191,0.24831124,0.094602699
92,3.45,2.67,3.55,2.94,1,34,27,3,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0.360277096,0.489808055,0.638695081,0.862277908,0.587764535
93,3.45,3.04,3.26,3.01,2,35,34,3,1,1,2,1,1,1,3,2,1,2,3,2,1,1,1,1,2,2,2,2,2,2,0.360277096,0.906296268,0.23222493,0.94041912,0.609804353
94,3.74,3.19,3.49,2.70,1,34,38,4,1,2,3,2,1,2,1,2,1,3,3,2,2,2,1,3,1,1,3,3,1,1,0.792543411,1.07514284,0.554597808,0.59436518,0.75416231
95,2.90,0.95,2.40,1.28,2,40,21,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.459538327,-1.446299313,-0.973169312,-0.990785125,-0.967448019
96,2.97,1.81,2.79,2.13,1,28,36,4,1,2,2,4,2,2,2,1,1,2,2,1,2,1,2,1,1,1,3,2,1,3,-0.353555927,-0.481298318,-0.429079144,-0.043848472,-0.326945465
97,3.32,1.46,3.29,1.49,1,37,41,3,1,1,2,2,2,3,1,2,2,2,2,1,3,2,3,2,3,2,2,2,1,2,0.166502542,-0.872220966,0.274273566,-0.756361488,-0.296951587
98,3.64,2.47,3.60,2.27,2,34,36,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,2,1,1,0.647971829,0.267553076,0.709832662,0.117756751,0.435778579
99,3.70,3.21,3.56,2.84,1,34,21,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.738293183,1.095513327,0.654864287,0.746186613,0.808714352
100,3.09,0.96,3.09,0.68,1,37,34,3,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,3,2,1,2,-0.176329363,-1.435042875,-0.006050676,-1.660566944,-0.819497465
101,3.55,2.99,3.68,3.10,1,31,38,2,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,0.509334446,0.850014077,0.820905839,1.040886393,0.805285189
102,3.60,2.69,3.07,2.18,2,33,31,3,1,1,2,2,1,1,1,2,1,2,3,2,2,1,1,1,1,1,3,1,2,1,0.583863121,0.512320931,-0.0340831,0.013887604,0.268997139
103,4.00,3.09,4.00,3.08,1,36,35,3,1,1,1,3,2,3,1,1,2,2,1,1,2,2,2,2,2,1,3,2,1,1,1.18009252,0.962578458,1.269424626,1.018560333,1.107663984
104,3.32,2.03,2.19,1.42,2,34,28,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3,2,1,1,1,3,1,2,0.172651234,-0.230604021,-1.260852301,-0.83171206,-0.537629287
105,3.36,3.10,3.34,3.00,2,32,25,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,0.223032449,0.974833679,0.346071485,0.926800082,0.617684424
106,3.09,2.34,3.16,2.60,1,39,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-0.176680607,0.11476592,0.088006074,0.481970129,0.127015379
107,3.45,0.44,3.10,0.83,2,37,40,3,1,1,2,2,2,3,2,3,1,2,2,1,2,1,1,2,3,2,3,3,1,2,0.362839105,-2.01972766,0.011553747,-1.498156085,-0.785872723
108,4.00,4.00,4.00,4.00,1,40,27,3,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1.18009252,1.986914333,1.269424626,2.045559122,1.62049765
109,3.61,3.24,3.56,3.23,1,35,30,4,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,0.598768856,1.131425031,0.652711293,1.186005787,0.892227742
110,4.00,2.64,4.00,2.45,2,30,33,3,1,1,1,2,1,2,2,2,1,2,2,1,2,1,1,2,1,1,4,3,1,1,1.18009252,0.453590479,1.269424626,0.315052072,0.804539924
111,3.40,2.84,3.42,2.63,1,30,34,4,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,3,2,1,1,0.285748421,0.681167504,0.456484324,0.516223968,0.484906054
112,2.41,1.94,1.17,1.27,2,27,51,3,2,1,4,2,1,3,4,3,1,4,3,2,2,3,3,2,2,3,1,4,2,2,-1.192384487,-0.331451204,-2.698226967,-1.001861013,-1.305980918
113,3.46,2.90,3.29,2.50,1,28,46,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2,0.375182831,0.748706133,0.274273566,0.371104574,0.442316776
114,2.88,2.63,2.84,2.71,2,31,58,3,2,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,4,3,2,2,-0.489349797,0.444782302,-0.356455979,0.605528211,0.051126184
115,3.51,2.23,3.46,1.98,1,36,68,5,2,2,3,2,3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,3,3,0.449711506,-0.005475225,0.512549172,-0.209373003,0.186853113
116,0.50,0.46,0.43,0.45,1,32,63,5,2,2,4,4,4,4,1,2,4,4,2,4,3,3,4,4,4,3,1,4,2,2,-4.036914721,-1.997864784,-3.734363099,-1.917316642,-2.921614812
117,3.63,1.35,3.73,0.62,1,26,44,3,2,1,2,2,2,2,3,2,1,3,3,2,3,3,2,2,1,2,4,3,1,1,0.628580326,-0.996041786,0.890986899,-1.727545126,-0.301004922
118,2.79,1.64,3.20,1.55,2,39,64,4,2,2,2,3,4,4,3,3,4,3,2,3,3,3,4,4,3,3,4,3,3,3,-0.623501412,-0.669605078,0.148127657,-0.689383306,-0.458590535
119,3.67,2.93,3.20,1.61,1,33,56,3,2,1,2,2,4,2,1,3,2,4,2,3,1,3,4,3,4,3,4,3,3,3,0.688203266,0.782475448,0.148127657,-0.622405125,0.249100311
120,3.12,2.34,2.72,2.33,1,34,44,4,2,2,2,2,2,1,2,3,3,3,1,3,3,2,2,1,2,2,4,1,3,2,-0.135394642,0.119738629,-0.529784043,0.183970228,-0.090367457
121,3.03,1.11,1.69,1.69,2,31,56,5,2,2,3,3,3,3,2,1,3,4,2,3,3,4,3,4,2,2,4,3,1,3,-0.265763773,-1.266196302,-1.968320372,-0.533100882,-1.008345332
122,3.67,3.72,3.68,3.73,1,33,43,5,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,1,3,2,2,2,0.688203266,1.671734064,0.820905839,1.744157303,1.231250118
123,3.89,3.33,4.00,3.43,2,34,42,4,2,2,2,3,3,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1.016129435,1.232732975,1.269424626,1.409266394,1.231888358
124,2.45,1.75,1.97,1.71,2,39,49,3,2,1,2,3,2,2,2,3,2,4,1,3,2,3,2,2,3,4,2,2,3,2,-1.130296401,-0.545784258,-1.575866433,-0.510774821,-0.940680479
125,3.66,2.31,3.49,1.87,2,33,46,3,2,1,2,2,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,0.671878625,0.084524956,0.551349331,-0.33685984,0.242723268
